Time(ms),TCP_x(mm),TCP_y(mm),TCP_z(mm),TCP_rx(mm),TCP_ry(mm),TCP_rz(mm),Robot_I(A)
727.9989999999999,259.1,5726.2,177.8,1.233,1.181,64.329,1.233
729.9989999999999,259.2,5726.2,177.8,1.233,1.181,64.329,1.233
732.0,259.2,5726.1,177.8,1.233,1.181,64.329,1.233
735.998,259.2,5726.1,177.8,1.233,1.181,64.329,1.233
737.9970000000001,259.2,5726.1,177.8,1.233,1.18,64.329,1.233
739.9989999999999,259.2,5726.1,177.8,1.233,1.18,64.329,1.233
741.998,259.2,5726.1,177.8,1.233,1.18,64.329,1.233
743.998,259.2,5726.1,177.8,1.233,1.18,64.329,1.233
745.998,259.2,5726.1,178.2,1.233,1.18,64.329,1.233
749.998,259.2,5726.1,178.2,1.233,1.18,64.329,1.233
751.9970000000001,259.2,5726.1,178.2,1.233,1.18,64.329,1.268
755.999,259.2,5726.1,178.2,1.233,1.18,64.329,1.268
758.0,259.2,5726.1,178.3,1.233,1.18,64.329,1.268
761.999,259.2,5726.1,178.3,1.233,1.18,64.329,1.268
764.0,259.2,5726.1,178.3,1.233,1.18,64.329,1.268
765.996,259.2,5726.1,178.3,1.233,1.18,64.329,1.057
767.9970000000001,259.2,5726.0,178.3,1.233,1.18,64.329,1.057
769.9970000000001,259.2,5726.0,178.4,1.233,1.18,64.329,1.057
771.9970000000001,259.2,5726.0,178.4,1.233,1.18,64.329,1.057
773.996,259.2,5726.0,178.4,1.233,1.18,64.329,1.057
775.9970000000001,259.2,5726.0,178.4,1.233,1.18,64.329,1.057
777.9970000000001,259.2,5726.0,178.4,1.233,1.18,64.329,1.127
779.999,259.2,5726.0,178.4,1.233,1.18,64.329,1.127
783.9979999999999,259.2,5726.0,178.4,1.233,1.18,64.329,1.127
785.9979999999999,259.2,5726.0,178.4,1.233,1.18,64.329,1.127
787.997,259.2,5726.0,178.4,1.233,1.18,64.329,1.127
789.997,259.2,5726.0,178.4,1.233,1.18,64.329,1.162
791.997,259.2,5726.0,178.4,1.233,1.18,64.329,1.162
793.997,259.2,5726.0,178.4,1.233,1.18,64.329,1.162
797.997,259.2,5726.0,178.4,1.233,1.18,64.329,1.162
799.9979999999999,259.2,5726.0,178.4,1.233,1.18,64.329,1.162
801.9979999999999,259.2,5726.0,178.4,1.233,1.18,64.329,1.057
805.998,259.1,5726.0,178.4,1.233,1.18,64.329,1.057
807.997,259.1,5726.0,178.4,1.233,1.18,64.329,1.057
809.997,259.1,5726.0,178.4,1.233,1.18,64.329,1.057
811.998,259.1,5726.0,178.4,1.233,1.18,64.329,1.057
813.997,259.1,5726.0,178.4,1.233,1.18,64.329,1.057
817.997,259.2,5726.1,178.4,1.233,1.18,64.329,1.162
819.997,259.2,5726.1,178.4,1.233,1.18,64.329,1.162
823.997,259.2,5726.1,178.4,1.233,1.18,64.329,1.162
825.997,259.2,5726.1,178.4,1.233,1.18,64.329,1.162
828.006,259.2,5726.1,178.4,1.233,1.18,64.329,1.057
831.997,259.2,5726.1,178.4,1.233,1.18,64.329,1.057
835.997,259.2,5726.1,178.4,1.233,1.18,64.329,1.057
839.997,259.2,5726.1,178.4,1.233,1.18,64.329,1.057
841.997,259.1,5726.1,178.4,1.233,1.18,64.329,1.233
843.997,259.1,5726.1,178.4,1.233,1.18,64.329,1.233
845.997,259.1,5726.1,178.4,1.233,1.18,64.329,1.233
847.997,259.1,5726.1,178.4,1.233,1.18,64.329,1.233
850.0,259.1,5726.1,178.4,1.233,1.18,64.329,1.233
853.997,259.1,5726.1,178.4,1.233,1.18,64.329,1.304
855.997,259.1,5726.1,178.4,1.233,1.18,64.329,1.304
857.996,259.1,5726.1,178.4,1.233,1.18,64.329,1.304
859.997,259.1,5726.1,178.4,1.233,1.18,64.329,1.304
861.997,259.1,5726.1,178.4,1.233,1.18,64.329,1.304
863.9970000000001,259.1,5726.1,178.4,1.233,1.18,64.329,1.304
865.9970000000001,259.1,5726.1,178.4,1.233,1.18,64.329,1.057
867.9970000000001,259.1,5726.1,178.4,1.233,1.18,64.329,1.057
869.998,259.1,5726.1,178.4,1.233,1.18,64.329,1.057
871.9970000000001,259.1,5726.1,178.4,1.233,1.18,64.329,1.057
873.999,259.1,5726.1,178.4,1.233,1.18,64.329,1.057
877.9970000000001,259.1,5726.1,178.4,1.233,1.18,64.329,1.057
881.9970000000001,259.1,5726.1,178.4,1.233,1.18,64.329,1.056
883.9970000000001,259.1,5726.1,178.4,1.233,1.18,64.329,1.056
887.9970000000001,259.1,5726.1,178.4,1.233,1.18,64.329,1.056
889.9970000000001,259.1,5726.1,178.4,1.233,1.18,64.329,1.056
891.9970000000001,259.1,5726.1,178.4,1.233,1.18,64.329,1.021
894.0,259.1,5726.1,178.4,1.233,1.18,64.329,1.021
895.9970000000001,259.1,5726.1,178.4,1.233,1.18,64.329,1.021
897.9979999999999,259.1,5726.1,178.4,1.233,1.18,64.329,1.021
901.9970000000001,259.1,5726.1,178.4,1.233,1.18,64.329,1.021
903.9970000000001,259.1,5726.1,178.4,1.233,1.18,64.329,1.021
907.9979999999999,259.1,5726.1,178.4,1.233,1.18,64.329,1.092
909.997,259.1,5726.1,178.4,1.233,1.18,64.329,1.092
911.997,259.1,5726.1,178.4,1.233,1.18,64.329,1.092
913.997,259.1,5726.1,178.4,1.233,1.18,64.329,1.092
915.997,259.1,5726.1,178.4,1.233,1.18,64.329,1.092
917.997,259.1,5726.1,178.4,1.233,1.18,64.329,1.233
919.997,259.1,5726.1,178.4,1.233,1.18,64.329,1.233
923.997,259.1,5726.1,178.4,1.233,1.18,64.329,1.233
927.997,259.1,5726.1,178.4,1.233,1.18,64.329,1.233
929.997,259.1,5726.1,178.4,1.233,1.18,64.329,1.233
931.997,259.1,5726.1,178.4,1.233,1.18,64.329,1.092
933.997,259.1,5726.1,178.4,1.233,1.18,64.329,1.092
935.997,259.1,5726.1,178.4,1.233,1.18,64.329,1.092
939.997,259.1,5726.1,178.4,1.233,1.18,64.329,1.092
944.005,259.1,5726.1,178.4,1.233,1.18,64.329,1.057
947.997,259.1,5726.1,178.4,1.233,1.18,64.329,1.057
951.997,259.1,5726.1,178.4,1.233,1.18,64.329,1.057
