Time(ms),TCP_x(mm),TCP_y(mm),TCP_z(mm),TCP_rx(mm),TCP_ry(mm),TCP_rz(mm),Robot_I(A)
540.5210000000001,-241.1,-776.5,177.8,1.234,1.181,-1.206,1.162
544.551,-241.1,-776.5,177.8,1.234,1.181,-1.206,1.126
548.55,-241.1,-776.5,177.8,1.234,1.181,-1.206,1.126
550.534,-241.1,-776.5,177.8,1.234,1.181,-1.206,1.126
552.535,-241.1,-776.5,177.8,1.234,1.181,-1.206,1.126
554.534,-241.1,-776.5,177.8,1.234,1.181,-1.206,1.126
556.569,-241.1,-776.5,177.8,1.234,1.181,-1.206,1.091
558.5830000000001,-241.1,-776.5,177.8,1.234,1.181,-1.206,1.091
560.59,-241.1,-776.5,177.8,1.234,1.181,-1.206,1.091
562.601,-241.1,-776.5,177.8,1.234,1.181,-1.206,1.091
566.5980000000001,-241.1,-776.5,177.8,1.234,1.181,-1.206,1.091
570.601,-241.1,-776.5,177.8,1.234,1.181,-1.206,1.197
572.5989999999999,-241.1,-776.5,177.8,1.234,1.181,-1.206,1.197
574.5980000000001,-241.1,-776.5,177.8,1.234,1.181,-1.206,1.197
576.597,-241.1,-776.5,177.8,1.234,1.181,-1.206,1.197
578.598,-241.1,-776.5,177.8,1.234,1.181,-1.206,1.197
582.6,-241.1,-776.5,177.8,1.234,1.181,-1.206,1.197
584.587,-241.1,-776.5,177.8,1.234,1.181,-1.206,1.162
586.5989999999999,-241.1,-776.5,177.8,1.234,1.181,-1.206,1.162
590.598,-241.1,-776.5,177.8,1.234,1.181,-1.206,1.162
594.598,-241.1,-776.5,177.8,1.234,1.181,-1.206,1.162
598.598,-241.1,-776.5,177.8,1.234,1.181,-1.206,1.232
600.588,-241.1,-776.5,177.8,1.234,1.181,-1.206,1.232
602.598,-241.1,-776.5,177.9,1.234,1.181,-1.206,1.232
605.653,-241.1,-776.5,177.9,1.234,1.181,-1.206,1.232
607.595,-241.1,-776.5,177.9,1.234,1.181,-1.206,1.232
609.582,-241.1,-776.5,177.9,1.234,1.181,-1.206,1.056
611.602,-241.1,-776.5,177.9,1.234,1.181,-1.206,1.056
613.598,-241.1,-776.4,177.9,1.234,1.181,-1.206,1.056
615.583,-241.1,-776.4,177.8,1.234,1.181,-1.206,1.056
617.648,-241.1,-776.4,177.8,1.234,1.181,-1.206,1.056
621.6669999999999,-241.1,-776.4,177.8,1.234,1.181,-1.205,1.056
623.787,-241.1,-776.4,177.8,1.234,1.181,-1.205,0.846
625.816,-241.0,-776.4,177.8,1.234,1.181,-1.205,0.846
627.816,-241.0,-776.3,177.8,1.234,1.181,-1.205,0.846
629.817,-241.0,-776.3,177.1,1.234,1.181,-1.205,0.846
631.826,-241.0,-776.3,177.1,1.234,1.181,-1.205,0.846
633.9240000000001,-241.0,-776.3,177.1,1.234,1.181,-1.205,0.846
635.953,-241.0,-776.3,177.1,1.234,1.181,-1.205,0.846
639.9350000000001,-241.1,-776.6,177.1,1.234,1.181,-1.205,1.585
641.956,-241.1,-776.6,177.1,1.234,1.181,-1.205,1.585
645.9549999999999,-241.1,-776.6,177.3,1.233,1.181,-1.205,1.585
649.9549999999999,-241.1,-776.6,177.3,1.233,1.18,-1.206,1.585
653.953,-241.2,-776.6,177.3,1.233,1.18,-1.206,1.374
655.953,-241.2,-776.9,177.3,1.233,1.18,-1.206,1.374
657.9540000000001,-241.2,-776.9,177.3,1.233,1.18,-1.206,1.374
659.953,-241.2,-776.9,177.3,1.234,1.18,-1.206,1.374
661.957,-241.2,-776.9,177.3,1.234,1.181,-1.206,1.374
663.9399999999999,-241.2,-776.9,177.3,1.234,1.181,-1.206,1.374
665.937,-241.2,-776.9,177.3,1.234,1.181,-1.206,1.233
669.941,-241.1,-776.5,177.3,1.234,1.181,-1.206,1.233
673.941,-241.1,-776.5,176.5,1.234,1.181,-1.206,1.233
678.028,-241.1,-776.5,176.5,1.234,1.181,-1.205,1.233
680.1279999999999,-241.1,-776.5,176.5,1.234,1.181,-1.205,1.62
682.1460000000001,-241.1,-776.5,176.5,1.234,1.181,-1.205,1.62
684.159,-241.1,-776.9,176.5,1.234,1.181,-1.205,1.62
686.163,-241.1,-776.9,176.9,1.234,1.181,-1.205,1.62
688.158,-241.1,-776.9,176.9,1.234,1.181,-1.205,1.62
690.156,-241.1,-776.9,176.9,1.234,1.181,-1.205,1.62
694.158,-241.2,-776.9,176.9,1.234,1.181,-1.206,1.585
696.158,-241.2,-777.0,176.9,1.234,1.181,-1.206,1.585
698.157,-241.2,-777.0,177.0,1.234,1.181,-1.206,1.585
702.1579999999999,-241.2,-777.0,177.0,1.234,1.181,-1.206,1.585
706.1579999999999,-241.2,-777.0,177.0,1.234,1.181,-1.206,1.55
708.1579999999999,-241.2,-777.0,177.0,1.234,1.181,-1.206,1.55
710.1579999999999,-241.2,-776.9,177.0,1.234,1.181,-1.206,1.55
712.155,-241.2,-776.9,177.1,1.234,1.181,-1.206,1.55
714.16,-241.2,-776.9,177.1,1.234,1.181,-1.206,1.55
718.146,-241.2,-776.9,177.1,1.234,1.181,-1.206,1.549
720.146,-241.2,-776.9,177.1,1.234,1.181,-1.206,1.549
724.146,-241.2,-777.4,177.1,1.234,1.181,-1.206,1.549
728.191,-241.2,-777.4,177.8,1.233,1.18,-1.206,1.549
731.447,-241.2,-777.4,177.8,1.233,1.18,-1.206,1.549
734.588,-241.3,-777.4,177.8,1.233,1.18,-1.206,1.444
736.587,-241.3,-777.8,177.8,1.233,1.18,-1.206,1.444
740.587,-241.3,-777.8,178.3,1.232,1.18,-1.206,1.444
742.587,-241.3,-777.8,178.3,1.232,1.18,-1.206,1.444
746.571,-241.3,-777.8,178.3,1.232,1.18,-1.207,1.303
748.5880000000001,-241.3,-777.9,178.3,1.232,1.18,-1.207,1.303
750.571,-241.3,-777.9,178.6,1.232,1.18,-1.207,1.303
752.587,-241.3,-777.9,178.6,1.232,1.18,-1.207,1.303
754.572,-241.3,-777.9,178.6,1.232,1.179,-1.207,1.303
758.5880000000001,-241.3,-777.9,178.6,1.232,1.179,-1.207,1.197
762.5880000000001,-241.3,-777.8,178.6,1.232,1.179,-1.207,1.197
764.587,-241.3,-777.8,178.9,1.232,1.179,-1.207,1.197
766.5880000000001,-241.3,-777.8,178.9,1.232,1.179,-1.207,1.197
768.5840000000001,-241.3,-777.8,178.9,1.232,1.179,-1.207,1.197
